Date,Pot,SubPot,EC,pH,Leaves Count,Longest Leaf,Plant Height(mm)
18/9/2023,1,14,16,8.2,4,19,28
18/9/2023,1,15,16,8.2,5,22,32
18/9/2023,1,16,16,8.2,5,20,30
18/9/2023,1,17,16,8.2,4,17,24
18/9/2023,1,18,16,8.2,4,13,19
18/9/2023,1,19,16,8.2,4,13,19
18/9/2023,1,20,16,8.2,4,18,27
18/9/2023,1,21,16,8.2,4,15,23
18/9/2023,1,22,16,8.2,4,19,27
18/9/2023,1,23,16,8.2,4,19,29
18/9/2023,1,24,16,8.2,5,16,23
18/9/2023,1,25,16,8.2,4,17,25
18/9/2023,1,26,16,8.2,4,14,20
18/9/2023,1,27,16,8.2,5,13,19
18/9/2023,1,28,16,8.2,4,18,26
18/9/2023,1,29,16,8.2,5,13,17
18/9/2023,1,30,16,8.2,4,17,24
18/9/2023,1,31,16,8.2,5,21,30
18/9/2023,1,32,16,8.2,4,18,27
18/9/2023,1,33,16,8.2,4,22,32
18/9/2023,1,34,16,8.2,4,19,30
18/9/2023,1,35,16,8.2,5,16,24
